Year,ID Geography,Geography,Average Income,Population
"2017","04000US11","District of Columbia",51084.02024417341,672391
"2017","04000US12","Florida",28599.502317312563,20278447
"2017","04000US13","Georgia",27931.68193765019,10201635
"2017","04000US15","Hawaii",32548.358944274925,1421658
"2017","04000US16","Idaho",25400.271267516404,1657375
"2017","04000US17","Illinois",32863.47807830487,12854526
"2017","04000US18","Indiana",27277.512222541725,6614418
"2017","04000US19","Iowa",30034.24457570663,3118102
"2017","04000US20","Kansas",29615.602553877306,2903820
"2017","04000US21","Kentucky",25868.69476192801,4424376
"2017","04000US22","Louisiana",26184.299703589244,4663461
"2017","04000US23","Maine",29845.1274991392,1330158
"2017","04000US24","Maryland",38916.12702767926,5996079
"2017","04000US25","Massachusetts",39894.82316215746,6789319
"2017","04000US26","Michigan",28825.29594356716,9925568
"2017","04000US27","Minnesota",34751.68190727419,5490726
"2017","04000US28","Mississippi",22432.01855991856,2986220
"2017","04000US29","Missouri",28370.511530953205,6075300
"2017","04000US30","Montana",28737.324045357534,1029862
"2017","04000US31","Nebraska",29769.996547902472,1893921
"2017","04000US32","Nevada",28330.128731787132,2887725
"2017","04000US33","New Hampshire",36912.27854522411,1331848
"2017","04000US34","New Jersey",38895.897203632834,8960161
"2017","04000US35","New Mexico",24962.88880233765,2084828
"2017","04000US36","New York",35654.01026718149,19798228
"2017","04000US37","North Carolina",28058.653116558125,10052564
"2017","04000US38","North Dakota",33602.62850933968,745475
"2017","04000US39","Ohio",28980.521014222864,11609756
"2017","04000US40","Oklahoma",26443.230964329556,3896251
"2017","04000US41","Oregon",30333.00126927672,4025127
"2017","04000US42","Pennsylvania",31475.1856343436,12790505
"2017","04000US44","Rhode Island",33329.148486277365,1056138
"2017","04000US45","South Carolina",26660.734262413138,4893444
"2017","04000US46","South Dakota",28805.62069755589,855444
"2017","04000US47","Tennessee",27187.013503691844,6597381
"2017","04000US48","Texas",28889.05283006922,27419612
"2017","04000US49","Utah",26804.36914955906,2993941
"2017","04000US50","Vermont",32258.954117277903,624636
"2017","04000US51","Virginia",36284.09394268578,8365952
"2017","04000US53","Washington",34838.11992998015,7169967
"2017","04000US54","West Virginia",24663.907628469064,1836843
"2017","04000US55","Wisconsin",30506.240275179644,5763217
"2017","04000US56","Wyoming",31266.186008230452,583200
"2017","04000US72","Puerto Rico",12034.968715731844,3468963
"2016","04000US01","Alabama",24776.031337917906,4841164
"2016","04000US02","Alaska",34226.165549531455,736855
"2016","04000US04","Arizona",26668.789111052192,6728577
"2016","04000US05","Arkansas",23406.612360837495,2968472
"2016","04000US06","California",31359.949911582713,38654206
"2016","04000US08","Colorado",33159.360084488726,5359295
"2016","04000US09","Connecticut",39809.9007905656,3588570
"2016","04000US10","Delaware",30945.1869882689,934695
"2016","04000US11","District of Columbia",49015.67778285274,659009
"2016","04000US12","Florida",27426.56205621113,19934451
"2016","04000US13","Georgia",26579.83322441511,10099320
"2016","04000US15","Hawaii",31074.58732535742,1413673
"2016","04000US16","Idaho",24333.701112148523,1635483
"2016","04000US17","Illinois",31486.995177285717,12851684
"2016","04000US18","Indiana",26121.57011814717,6589578
"2016","04000US19","Iowa",28933.755446890464,3106589
"2016","04000US20","Kansas",28528.33222325425,2898292
"2016","04000US21","Kentucky",24851.026847075096,4411989
"2016","04000US22","Louisiana",25500.71079176954,4645670
"2016","04000US23","Maine",28410.900300242945,1329923
"2016","04000US24","Maryland",37645.89939633236,5959902
"2016","04000US25","Massachusetts",38042.23242877654,6742143
"2016","04000US26","Michigan",27424.722202308873,9909600
"2016","04000US27","Minnesota",33320.53379828681,5450868
"2016","04000US28","Mississippi",21603.315796375744,2989192
"2016","04000US29","Missouri",27086.236901762164,6059651
"2016","04000US30","Montana",27169.84462829945,1023391
"2016","04000US31","Nebraska",28698.290478876115,1881259
"2016","04000US32","Nevada",27080.205299291483,2839172
"2016","04000US33","New Hampshire",35299.47811728335,1327503
"2016","04000US34","New Jersey",37412.103600758055,8915456
"2016","04000US35","New Mexico",24303.945408118678,2082669
"2016","04000US36","New York",34107.72378992882,19697457
"2016","04000US37","North Carolina",26772.425192750543,9940828
"2016","04000US38","North Dakota",33017.83440058031,736162
"2016","04000US39","Ohio",27745.638592273837,11586941
"2016","04000US40","Oklahoma",25624.410299440937,3875589
"2016","04000US41","Oregon",28789.606563296737,3982267
